name,description,website,region,category,country,city_state,member_count,status,type,format
"Cloud Native Dhaka","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-dhaka","Southern Asia","Cloud Native","Bangladesh","Dhaka",85,"Active","CNCF Chapter","hybrid"
"CNCF New Delhi","Cloud Native Computing Foundation Chapter","community.cncf.io/new-delhi","Southern Asia","Cloud Native","India","New Delhi",1413,"Active","CNCF Chapter","hybrid"
"CNCF Thane","Cloud Native Computing Foundation Chapter","community.cncf.io/thane","Southern Asia","Cloud Native","India","Thane, Maharashtra",316,"Active","CNCF Chapter","hybrid"
"Cloud Native Security India","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-security-india","Southern Asia","Cloud Native,Security","India","Delhi",383,"Active","CNCF Chapter","hybrid"
"Cloud Native Surat","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-surat","Southern Asia","Cloud Native","India","Surat, Gujarat",35,"Active","CNCF Chapter","hybrid"
"Cloud Native Kerala","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-kerala","Southern Asia","Cloud Native","India","Thrissur, Kerala",0,"Active","CNCF Chapter","hybrid"
"CNCF Madurai","Cloud Native Computing Foundation Chapter","community.cncf.io/madurai","Southern Asia","Cloud Native","India","Madurai, Tamil Nadu",94,"Active","CNCF Chapter","hybrid"
"CNCF Amravati","Cloud Native Computing Foundation Chapter","community.cncf.io/amravati","Southern Asia","Cloud Native","India","Amravati, Maharashtra",28,"Active","CNCF Chapter","hybrid"
"Cloud Native Vadodara","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-vadodara","Southern Asia","Cloud Native","India","Vadodara, Gujarat",196,"Active","CNCF Chapter","hybrid"
"CNCF Greater Noida","Cloud Native Computing Foundation Chapter","community.cncf.io/greater-noida","Southern Asia","Cloud Native","India","Greater Noida, Uttar Pradesh",282,"Active","CNCF Chapter","hybrid"
"Cloud Native Gandhinagar","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-gandhinagar","Southern Asia","Cloud Native","India","Gandhinagar, Gujarat",161,"Active","CNCF Chapter","hybrid"
"Cloud Native Hooghly","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-hooghly","Southern Asia","Cloud Native","India","Chinsurah, West Bengal",685,"Active","CNCF Chapter","hybrid"
"Cloud Native Aurangabad","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-aurangabad","Southern Asia","Cloud Native","India","Aurangabad, Maharashtra",149,"Active","CNCF Chapter","hybrid"
"Cloud Native Security Pakistan","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-security-pakistan","Southern Asia","Cloud Native,Security","Pakistan","Lahore, Punjab",13,"Active","CNCF Chapter","hybrid"
"Cloud Native Dibrugarh","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-dibrugarh","Southern Asia","Cloud Native","India","Dibrugarh, Assam",16,"Active","CNCF Chapter","hybrid"
"Cloud Native Kuala Lumpur","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-kuala-lumpur","South-Eastern Asia","Cloud Native","Malaysia","Kuala Lumpur",137,"Active","CNCF Chapter","hybrid"
"Cloud Native Jalandhar","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-jalandhar","Southern Asia","Cloud Native","India","Jalandhar, Punjab",309,"Active","CNCF Chapter","hybrid"
"Cloud Native Ho Chi Minh","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-ho-chi-minh","South-Eastern Asia","Cloud Native","Vietnam","Ho Chi Minh City",116,"Active","CNCF Chapter","hybrid"
"Kubernetes Sri Lanka","Cloud Native Computing Foundation Chapter","community.cncf.io/kubernetes-sri-lanka","Southern Asia","Cloud Native","Sri Lanka","Colombo, Western Province",11,"Active","CNCF Chapter","hybrid"
"Cloud Native Community Japan","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-community-japan","Eastern Asia","Cloud Native","Japan","Tokyo",390,"Active","CNCF Chapter","hybrid"
"Cloud Native Riyadh","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-riyadh","Western Asia","Cloud Native","Saudi Arabia","Riyadh",85,"Active","CNCF Chapter","hybrid"
"Cloud Native Security Japan","Cloud Native Computing Foundation Chapter","community.cncf.io/cloud-native-security-japan","Eastern Asia","Cloud Native,Security","Japan","Tokyo",102,"Active","CNCF Chapter","hybrid"
"OpenChain Japan Work Group","OpenChain Project","https://openchain-project.github.io/OpenChain-JWG/","Eastern Asia","Others","Japan",,,"Active","OpenChain Chapter","hybrid"
"OpenChain Korea Work Group","OpenChain Project","https://openchain-project.github.io/OpenChain-KWG/","Eastern Asia","Others","Korea",,,"Active","OpenChain Chapter","hybrid"
"OpenChain Taiwan Work Group","OpenChain Project","https://openchain-project.github.io/OpenChain-TWG/","Eastern Asia","Others","Korea",,,"Active","OpenChain Chapter","hybrid"
"OpenChain Germany Work Group","OpenChain Project","https://lists.openchainproject.org/g/germany-wg","Europe","Others","Germany",,,"Active","OpenChain Chapter","hybrid"
"OpenChain UK Work Group","OpenChain Project","https://lists.openchainproject.org/g/uk-wg","Europe","Others","United Kingdom",,,"Active","OpenChain Chapter","hybrid"
"OpenChain China Work Group","OpenChain Project","https://openchainproject.org/participate","Eastern Asia","Others","China",,,"Active","OpenChain Chapter","hybrid"
"Ubuntu Korea Community","Ubuntu Chapter","https://ubuntu-kr.org","Eastern Asia","Others","South Korea",,,"Active","Ubuntu Chapter","hybrid"
"Kaiyuanshe Alliance City Communities","Kaiyuanshe","https://kaiyuanshe.cn/community","Eastern Asia","Others","China",,,"Active","Kaiyuanshe City Chapters","hybrid"
"GoFr Community","Open-source Golang framework for accelerated microservice development","https://gofr.dev/events","Southern Asia","Cloud Native","Bangalore, India","11000","Active",","hybrid"
"Cloud Native Stockholm","Stockholm Cloud Native Community Group","https://community.cncf.io/cloud-native-stockholm/","Northern Europe","Cloud Native","Sweden","Stockholm","797","Active","CNCF Chapter","In-Person"
"PyDelhi","Python Delhi User Group","https://pydelhi.org/","Southern Asia","Programming Language","India","New Delhi and NCR metropolitan area","2300","Active","User Group","hybrid"
"SciPy India","Scientific computing community in India","https://scipy-india.github.io/","Southern Asia","Scientific Computing","India","India","350","Active","Community","hybrid"
"RSE Asia","Research Software Engineering community in Asia","https://rse-asia.github.io/RSE_Asia/","Asia","Scientific Computing","Asia","Asia","85","Active","Community","Online"
